Number of Ants,Alpha,Beta,Best Cost,Execution Time (s),Number of Vehicles
10,0.5,1,2238.5453245869303,1082.02775637732,13
10,0.5,2,1759.7288961343238,1095.2093727122985,13
10,0.5,5,1606.9398714509753,1095.2093727122985,13
10,1.0,1,1668.276999493106,1082.02775637732,12
10,1.0,2,1551.135683417373,1082.02775637732,12
10,1.0,5,1820.834423894139,1082.02775637732,13
10,2.0,1,1633.3581519609615,1082.02775637732,13
10,2.0,2,1509.43213432226,1082.02775637732,12
10,2.0,5,1635.2203055637729,1082.02775637732,13
10,5.0,1,1989.6374442058313,1082.02775637732,13
10,5.0,2,1762.653144435797,1082.02775637732,14
10,5.0,5,1740.2773459144682,1082.02775637732,14
20,0.5,1,1846.9942989445553,1082.02775637732,13
20,0.5,2,1391.4718620676413,1082.02775637732,14
20,0.5,5,1636.2176961104087,1095.2093727122985,13
20,1.0,1,1520.7590555159895,1095.2093727122985,12
20,1.0,2,1489.053044241653,1082.02775637732,11
20,1.0,5,1479.6759287655714,1095.2093727122985,13
20,2.0,1,1818.3731291593758,1095.2093727122985,12
20,2.0,2,1578.441510695082,1082.02775637732,12
20,2.0,5,1583.829831640016,1082.02775637732,13
20,5.0,1,1624.3313412284788,1082.02775637732,14
20,5.0,2,1655.6784075579817,1082.02775637732,13
20,5.0,5,1975.4179839841672,1082.02775637732,14
30,0.5,1,1894.6481920362457,1082.02775637732,14
30,0.5,2,2089.6797509894604,1082.02775637732,13
30,0.5,5,1633.4210318624373,1095.2093727122985,13
30,1.0,1,1678.4420957714956,1082.02775637732,12
30,1.0,2,1674.7887058661581,1082.02775637732,12
30,1.0,5,1486.769150221935,1082.02775637732,13
30,2.0,1,1372.4849266461715,1095.2093727122985,12
30,2.0,2,1450.3145487839756,1082.02775637732,11
30,2.0,5,1681.062548294889,1082.02775637732,13
30,5.0,1,1599.2642862786524,1082.02775637732,12
30,5.0,2,1473.6331094124216,1082.02775637732,14
30,5.0,5,1944.3682851634876,1095.2093727122985,14
40,0.5,1,1670.654523062507,1082.02775637732,12
40,0.5,2,1540.8500992748086,1095.2093727122985,13
40,0.5,5,1439.5614294075458,1082.02775637732,13
40,1.0,1,1502.437338784579,1082.02775637732,12
40,1.0,2,1698.0789081234798,1082.02775637732,11
40,1.0,5,1503.7863231938973,1082.02775637732,13
40,2.0,1,1439.5347894346723,1082.02775637732,12
40,2.0,2,1469.2745989577288,1082.02775637732,12
40,2.0,5,1521.370586421419,1082.02775637732,12
40,5.0,1,1399.872377568614,1082.02775637732,14
40,5.0,2,1755.8893786680765,1082.02775637732,12
40,5.0,5,1603.8452805521483,1082.02775637732,14
50,0.5,1,1458.4398143174349,1082.02775637732,12
50,0.5,2,1949.1635247024242,1082.02775637732,12
50,0.5,5,1601.8989033283924,1082.02775637732,12
50,1.0,1,1397.0413006157214,1095.2093727122985,12
50,1.0,2,1345.5549723007625,1082.02775637732,11
50,1.0,5,1434.53936080753,1082.02775637732,12
50,2.0,1,1376.0625373478524,1095.2093727122985,12
50,2.0,2,1216.0105816650666,1082.02775637732,12
50,2.0,5,1445.54800385202,1082.02775637732,13
50,5.0,1,1467.9069434797239,1082.02775637732,13
50,5.0,2,1579.7013755231874,1082.02775637732,13
50,5.0,5,1418.1302779954403,1082.02775637732,13
60,0.5,1,1766.264818986292,1082.02775637732,13
60,0.5,2,1456.7988391072922,1082.02775637732,13
60,0.5,5,1549.4235531704653,1095.2093727122985,12
60,1.0,1,1554.4051586925398,1082.02775637732,11
60,1.0,2,1495.3433184122623,1095.2093727122985,11
60,1.0,5,1479.8752204194097,1082.02775637732,13
60,2.0,1,1671.5803644977968,1095.2093727122985,11
60,2.0,2,1191.1862926876602,1095.2093727122985,12
60,2.0,5,1588.226570379782,1082.02775637732,12
60,5.0,1,1447.8374199742266,1082.02775637732,13
60,5.0,2,1417.942945465269,1095.2093727122985,13
60,5.0,5,1691.186098544471,1095.2093727122985,13
70,0.5,1,1860.789785771989,1082.02775637732,13
70,0.5,2,1774.241158176761,1095.2093727122985,12
70,0.5,5,1649.9368746191576,1082.02775637732,13
70,1.0,1,1467.7698090540944,1082.02775637732,12
70,1.0,2,1349.4008935936236,1082.02775637732,12
70,1.0,5,1385.622541433455,1082.02775637732,11
70,2.0,1,1696.4300266927658,1082.02775637732,11
70,2.0,2,1336.992709465796,1095.2093727122985,12
70,2.0,5,1625.6855310809024,1082.02775637732,12
70,5.0,1,1697.098139268357,1095.2093727122985,13
70,5.0,2,1745.4562521663138,1095.2093727122985,13
70,5.0,5,1721.9814577836223,1082.02775637732,14
80,0.5,1,1610.0348899565706,1095.2093727122985,12
80,0.5,2,1619.312987990641,1082.02775637732,12
80,0.5,5,1660.1093885384053,1082.02775637732,12
80,1.0,1,1480.7338301780583,1095.2093727122985,12
80,1.0,2,1252.884663691486,1095.2093727122985,12
80,1.0,5,1682.7320139127332,1082.02775637732,12
80,2.0,1,1337.1082921668894,1082.02775637732,12
80,2.0,2,1342.8695932090486,1095.2093727122985,12
80,2.0,5,1498.7512362828838,1082.02775637732,13
80,5.0,1,1560.303541081952,1082.02775637732,13
80,5.0,2,1599.1190743529933,1095.2093727122985,13
80,5.0,5,1598.3367586273253,1095.2093727122985,13
90,0.5,1,1637.335421077918,1095.2093727122985,12
90,0.5,2,1508.0955530733572,1095.2093727122985,13
90,0.5,5,1551.1039035216709,1082.02775637732,13
90,1.0,1,1490.9071046030585,1082.02775637732,12
90,1.0,2,1215.0034263463876,1082.02775637732,12
90,1.0,5,1442.6933991759597,1082.02775637732,13
90,2.0,1,1378.8872965951614,1082.02775637732,12
90,2.0,2,1311.8539457906918,1082.02775637732,12
90,2.0,5,1417.1082712380849,1082.02775637732,12
90,5.0,1,1452.9956980966017,1095.2093727122985,13
90,5.0,2,1867.9805430305678,1095.2093727122985,13
90,5.0,5,1800.5500570463191,1082.02775637732,14
100,0.5,1,2013.8986048334318,1082.02775637732,12
100,0.5,2,1518.854179950873,1082.02775637732,13
100,0.5,5,1688.2763187963392,1095.2093727122985,13
100,1.0,1,1528.0798410308707,1095.2093727122985,12
100,1.0,2,1305.0637546209855,1082.02775637732,12
100,1.0,5,1485.0111136149244,1082.02775637732,12
100,2.0,1,1260.6219119663147,1082.02775637732,12
100,2.0,2,1248.5319882340955,1095.2093727122985,12
100,2.0,5,1428.089834452563,1082.02775637732,12
100,5.0,1,1687.4980827540967,1095.2093727122985,11
100,5.0,2,1956.3184529578266,1082.02775637732,13
100,5.0,5,1768.3222447473963,1082.02775637732,13
